NUMBER,STREET,CITY,POSTCODE,country
13,Bachmattweg,Aesch,4147,CH
14,Bachmattweg,Aesch,4147,CH
15,Bachmattweg,Aesch,4147,CH
16,Bachmattweg,Aesch,4147,CH
16a,Bachmattweg,Aesch,4147,CH
29,Bachmattweg,Aesch,4147,CH
31,Bachmattweg,Aesch,4147,CH
33,Bachmattweg,Aesch,4147,CH
33_01,Bachmattweg,Aesch,4147,CH
33a,Bachmattweg,Aesch,4147,CH
5,Bachmattweg,Aesch,4147,CH
6,Bachmattweg,Aesch,4147,CH
6a,Bachmattweg,Aesch,4147,CH
7,Bachmattweg,Aesch,4147,CH
9,Bachmattweg,Aesch,4147,CH
9a,Bachmattweg,Aesch,4147,CH
1,Bahnhofstrasse,Aesch,4147,CH
10,Bahnhofstrasse,Aesch,4147,CH
11,Bahnhofstrasse,Aesch,4147,CH
11a,Bahnhofstrasse,Aesch,4147,CH
12,Bahnhofstrasse,Aesch,4147,CH
13,Bahnhofstrasse,Aesch,4147,CH
14,Bahnhofstrasse,Aesch,4147,CH
15,Bahnhofstrasse,Aesch,4147,CH
15a,Bahnhofstrasse,Aesch,4147,CH
16,Bahnhofstrasse,Aesch,4147,CH
17,Bahnhofstrasse,Aesch,4147,CH
17a,Bahnhofstrasse,Aesch,4147,CH
18,Bahnhofstrasse,Aesch,4147,CH
18a,Bahnhofstrasse,Aesch,4147,CH
19,Bahnhofstrasse,Aesch,4147,CH
2,Bahnhofstrasse,Aesch,4147,CH
21,Bahnhofstrasse,Aesch,4147,CH
25,Bahnhofstrasse,Aesch,4147,CH
28,Bahnhofstrasse,Aesch,4147,CH
3,Bahnhofstrasse,Aesch,4147,CH
30,Bahnhofstrasse,Aesch,4147,CH
32,Bahnhofstrasse,Aesch,4147,CH
34,Bahnhofstrasse,Aesch,4147,CH
40_01,Bahnhofstrasse,Aesch,4147,CH
40_02,Bahnhofstrasse,Aesch,4147,CH
40_03,Bahnhofstrasse,Aesch,4147,CH
40_04,Bahnhofstrasse,Aesch,4147,CH
40a,Bahnhofstrasse,Aesch,4147,CH
42,Bahnhofstrasse,Aesch,4147,CH
42a,Bahnhofstrasse,Aesch,4147,CH
42c,Bahnhofstrasse,Aesch,4147,CH
5,Bahnhofstrasse,Aesch,4147,CH
6,Bahnhofstrasse,Aesch,4147,CH
6a,Bahnhofstrasse,Aesch,4147,CH
7,Bahnhofstrasse,Aesch,4147,CH
7a,Bahnhofstrasse,Aesch,4147,CH
8,Bahnhofstrasse,Aesch,4147,CH
8a,Bahnhofstrasse,Aesch,4147,CH
9,Bahnhofstrasse,Aesch,4147,CH
9a,Bahnhofstrasse,Aesch,4147,CH
1,Baselmatte,Aesch,4147,CH
10,Baselmatte,Aesch,4147,CH
10a,Baselmatte,Aesch,4147,CH
10b,Baselmatte,Aesch,4147,CH
11,Baselmatte,Aesch,4147,CH
11a,Baselmatte,Aesch,4147,CH
11b,Baselmatte,Aesch,4147,CH
12,Baselmatte,Aesch,4147,CH
12a,Baselmatte,Aesch,4147,CH
12b,Baselmatte,Aesch,4147,CH
1a,Baselmatte,Aesch,4147,CH
1b,Baselmatte,Aesch,4147,CH
2,Baselmatte,Aesch,4147,CH
2a,Baselmatte,Aesch,4147,CH
2b,Baselmatte,Aesch,4147,CH
3,Baselmatte,Aesch,4147,CH
3a,Baselmatte,Aesch,4147,CH
3b,Baselmatte,Aesch,4147,CH
4,Baselmatte,Aesch,4147,CH
4a,Baselmatte,Aesch,4147,CH
4b,Baselmatte,Aesch,4147,CH
5,Baselmatte,Aesch,4147,CH
5a,Baselmatte,Aesch,4147,CH
5b,Baselmatte,Aesch,4147,CH
6,Baselmatte,Aesch,4147,CH
6a,Baselmatte,Aesch,4147,CH
6b,Baselmatte,Aesch,4147,CH
7,Baselmatte,Aesch,4147,CH
7a,Baselmatte,Aesch,4147,CH
7b,Baselmatte,Aesch,4147,CH
8,Baselmatte,Aesch,4147,CH
8a,Baselmatte,Aesch,4147,CH
8b,Baselmatte,Aesch,4147,CH
9,Baselmatte,Aesch,4147,CH
9a,Baselmatte,Aesch,4147,CH
9b,Baselmatte,Aesch,4147,CH
1,Baselweg,Aesch,4147,CH
10,Baselweg,Aesch,4147,CH
101,Baselweg,Aesch,4147,CH
103,Baselweg,Aesch,4147,CH
11,Baselweg,Aesch,4147,CH
12,Baselweg,Aesch,4147,CH
13,Baselweg,Aesch,4147,CH
14,Baselweg,Aesch,4147,CH
15,Baselweg,Aesch,4147,CH
16,Baselweg,Aesch,4147,CH
17,Baselweg,Aesch,4147,CH
18,Baselweg,Aesch,4147,CH
19,Baselweg,Aesch,4147,CH
19a,Baselweg,Aesch,4147,CH
19b,Baselweg,Aesch,4147,CH
1a,Baselweg,Aesch,4147,CH
2,Baselweg,Aesch,4147,CH
20,Baselweg,Aesch,4147,CH
21,Baselweg,Aesch,4147,CH
21a,Baselweg,Aesch,4147,CH
22,Baselweg,Aesch,4147,CH
23,Baselweg,Aesch,4147,CH
23a,Baselweg,Aesch,4147,CH
24,Baselweg,Aesch,4147,CH
25,Baselweg,Aesch,4147,CH
25a,Baselweg,Aesch,4147,CH
28,Baselweg,Aesch,4147,CH
3,Baselweg,Aesch,4147,CH
30a,Baselweg,Aesch,4147,CH
30b,Baselweg,Aesch,4147,CH
30c,Baselweg,Aesch,4147,CH
30d,Baselweg,Aesch,4147,CH
30e,Baselweg,Aesch,4147,CH
36,Baselweg,Aesch,4147,CH
38,Baselweg,Aesch,4147,CH
3a,Baselweg,Aesch,4147,CH
40,Baselweg,Aesch,4147,CH
40a,Baselweg,Aesch,4147,CH
42,Baselweg,Aesch,4147,CH
44,Baselweg,Aesch,4147,CH
5,Baselweg,Aesch,4147,CH
5a,Baselweg,Aesch,4147,CH
7,Baselweg,Aesch,4147,CH
7a,Baselweg,Aesch,4147,CH
85,Baselweg,Aesch,4147,CH
85a,Baselweg,Aesch,4147,CH
85b,Baselweg,Aesch,4147,CH
85c,Baselweg,Aesch,4147,CH
87,Baselweg,Aesch,4147,CH
87a,Baselweg,Aesch,4147,CH
87b,Baselweg,Aesch,4147,CH
89,Baselweg,Aesch,4147,CH
89a,Baselweg,Aesch,4147,CH
89b,Baselweg,Aesch,4147,CH
9,Baselweg,Aesch,4147,CH
91,Baselweg,Aesch,4147,CH
91a,Baselweg,Aesch,4147,CH
93,Baselweg,Aesch,4147,CH
93a,Baselweg,Aesch,4147,CH
95,Baselweg,Aesch,4147,CH
95a,Baselweg,Aesch,4147,CH
97,Baselweg,Aesch,4147,CH
97a,Baselweg,Aesch,4147,CH
99,Baselweg,Aesch,4147,CH
1,Birkenweg,Aesch,4147,CH
2,Birkenweg,Aesch,4147,CH
3,Birkenweg,Aesch,4147,CH
4,Birkenweg,Aesch,4147,CH
5,Birkenweg,Aesch,4147,CH
6,Birkenweg,Aesch,4147,CH
